Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
Sur,Siltoso,Maiz,590.0059679732683,18.3169830918546,True,True,Soleado,74,5.471494658092411
Oeste,Siltoso,Cebada,947.867477980713,21.473183991661816,True,True,Nublado,65,8.50370824494497
Oeste,Siltoso,Maiz,946.6788965907892,35.044691117409336,False,True,Soleado,74,7.306644783969803
Norte,Arcilloso,Trigo,849.203191849297,15.307130937996686,False,False,Lluvioso,96,4.593409046034688
Sur,Calcáreo,Trigo,712.2092165297581,25.61938131002665,False,False,Nublado,134,3.371810839881876
Oeste,Siltoso,Cebada,811.6552749335293,19.781235227536285,True,False,Nublado,114,5.326367101337655
Sur,Arenoso,Cebada,838.8717355218207,21.335659566238427,True,False,Lluvioso,109,5.617218386008211
Norte,Arcilloso,Cebada,135.01775942311778,24.28726988642773,False,False,Soleado,109,1.8759275154982955
Este,Arenoso,Maiz,321.3157765522731,33.788883990324194,False,False,Soleado,126,2.18020045342597
Oeste,Turba,Maiz,563.8130192204469,33.53199115575175,True,False,Soleado,65,4.08263751731891
Este,Siltoso,Cebada,391.6132743204191,19.05013945919007,True,True,Lluvioso,88,5.745190905212354
Norte,Calcáreo,Trigo,994.1766654262018,39.90684890934942,False,False,Soleado,96,6.261172496427058
Norte,Arcilloso,Trigo,529.248966600165,23.77628238080889,False,True,Lluvioso,146,3.828146309577544
Este,Turba,Cebada,291.2199487707684,38.11796479023901,True,True,Nublado,76,5.450322149782141
Norte,Calcáreo,Cebada,502.7918059400757,29.52905451555132,True,True,Nublado,146,5.376372194096083
Norte,Siltoso,Cebada,351.5959990489649,29.35629879062231,True,False,Nublado,71,4.205169079363167
Sur,Calcáreo,Trigo,540.5550043933763,22.87657200667575,True,False,Nublado,146,4.503199972399073
Sur,Franco,Trigo,481.4800193776168,19.74381695141215,True,False,Lluvioso,103,4.00321803720623
Este,Franco,Trigo,885.4575688971199,34.17791721704605,True,False,Nublado,131,7.234193608082867
Sur,Franco,Cebada,419.0895784433165,25.376664170873266,True,False,Lluvioso,87,4.359173152467488
Oeste,Calcáreo,Maiz,613.9858958625132,33.18955469815993,False,True,Soleado,107,5.316916368130786
Norte,Arcilloso,Cebada,699.2670890862055,29.687630741259007,False,True,Nublado,107,4.971329826372705
Sur,Siltoso,Cebada,906.3365437457768,33.20784126030695,True,False,Nublado,108,6.845069977651553
Oeste,Turba,Trigo,352.1426627187026,36.306351861877886,True,False,Soleado,61,4.047509749171652
Norte,Calcáreo,Trigo,575.2878552416973,23.23553935897195,True,False,Nublado,67,5.058686788669524
Norte,Calcáreo,Maiz,897.1034541643243,27.772018048669224,False,False,Soleado,84,5.094292734277768
Norte,Franco,Maiz,422.5942269545716,27.796417951732103,True,False,Lluvioso,83,4.107177643696395
Este,Turba,Cebada,770.157621779309,27.71433068759841,False,True,Lluvioso,99,5.250441162985812
Sur,Siltoso,Cebada,843.5080748699821,34.081509145659645,False,False,Soleado,138,4.453443420067245
Este,Turba,Maiz,445.0093806819316,39.67694037666757,False,False,Nublado,105,2.7787461908261446
Este,Turba,Trigo,419.65246624579135,19.11218673844132,True,True,Soleado,69,5.387089195871336
Norte,Turba,Trigo,280.8603733963126,25.77595228116094,False,False,Soleado,65,2.0580945722412043
Este,Siltoso,Cebada,201.76603956926616,34.9104521831347,False,True,Nublado,99,3.0783616285893456
Este,Arenoso,Cebada,487.479625134709,29.45833037339025,True,False,Soleado,144,3.034154764080529
Oeste,Arcilloso,Trigo,107.55870219265138,27.429970341193737,False,False,Soleado,138,1.1510530575473925
Norte,Franco,Cebada,200.6454017115292,24.99752958176161,True,False,Soleado,116,3.054292762064529
Este,Siltoso,Maiz,610.262474486893,37.31458936147869,True,True,Soleado,95,6.73727809513772
Oeste,Franco,Cebada,419.32194682807454,20.46718284496128,True,False,Soleado,97,3.603087145868196
Este,Siltoso,Maiz,900.311097727721,33.8753225676624,True,True,Soleado,86,8.114759984319
Sur,Siltoso,Maiz,467.54496187911474,19.32941183911048,False,True,Soleado,113,3.390424350921865
Sur,Arenoso,Maiz,716.3336741467552,21.968983750664737,True,True,Nublado,100,6.785676344177504
Este,Arcilloso,Cebada,459.36990166801934,18.61276116767936,False,False,Nublado,143,2.5492481358463364
Oeste,Calcáreo,Maiz,417.7844832575554,36.96239250322841,True,False,Lluvioso,137,4.506707799222457
Norte,Franco,Maiz,734.9436400821693,17.78008483900026,True,False,Soleado,132,4.823147341711649
Norte,Turba,Maiz,866.1939010074897,37.3251289790058,True,False,Nublado,111,5.782292119194109
Oeste,Siltoso,Trigo,754.7912939678873,29.46051237397232,False,False,Lluvioso,98,3.932438351274525
Oeste,Franco,Trigo,957.3445031915,19.52483090679436,True,True,Lluvioso,63,7.980998252041428
Oeste,Arenoso,Trigo,258.94588015412216,31.20086052262948,False,False,Soleado,67,1.7583348752824697
Este,Siltoso,Cebada,635.6325489505831,28.41228085385145,False,False,Nublado,90,4.642737931644905
Sur,Arenoso,Cebada,686.2816629510626,31.93846341775033,False,True,Nublado,83,4.7346596833487045
Norte,Turba,Maiz,365.149245370642,32.253781815909605,True,True,Nublado,127,4.138587417183586
Norte,Siltoso,Maiz,482.8455054880963,22.001793523183665,False,False,Soleado,93,2.768247045666352
Sur,Arcilloso,Trigo,531.2565045225524,32.618036567528506,False,False,Nublado,134,2.847506313893913
Oeste,Turba,Maiz,546.4365753422634,37.536678777351895,True,True,Lluvioso,74,6.716028784118654
Oeste,Arenoso,Maiz,629.965483921114,17.912675687270223,True,False,Soleado,140,5.343244276721668
Oeste,Franco,Cebada,104.208486123796,15.066434440519908,True,True,Nublado,77,3.6958618266102192
Oeste,Franco,Trigo,857.8176182367235,34.83133560701836,False,True,Soleado,132,6.505786412603402
Oeste,Arcilloso,Trigo,137.24977526449493,39.114892930854495,True,True,Lluvioso,68,4.782388619133844
Oeste,Calcáreo,Maiz,348.3353963236686,37.7476773541492,False,True,Lluvioso,107,4.078291721443746
Oeste,Siltoso,Maiz,357.48494349707875,18.723239160462764,True,False,Nublado,138,4.3320452245701215
Este,Franco,Trigo,382.6307212661653,27.86168412974995,True,False,Nublado,90,4.296049273359365
Oeste,Siltoso,Trigo,236.98538926179944,30.057479610382902,True,True,Nublado,145,4.803667492853199
Oeste,Calcáreo,Maiz,783.0419236929163,36.90043456374461,False,True,Lluvioso,92,6.811405200407454
Sur,Arcilloso,Cebada,598.3412009905626,30.58842992454228,True,True,Nublado,117,6.432433542528052
Sur,Siltoso,Cebada,979.4557988916096,16.638533782894832,False,False,Nublado,149,4.990472748767413
Oeste,Siltoso,Maiz,356.9107804498732,37.70027735037666,False,True,Soleado,93,4.374589647932705
Oeste,Siltoso,Trigo,637.9550415164136,36.53323432704656,True,True,Nublado,139,6.97953907764698
Norte,Calcáreo,Trigo,114.5651314399626,20.79183444619913,True,True,Lluvioso,68,4.110830737584177
Norte,Turba,Maiz,304.9163722862066,38.505312422388,True,False,Nublado,126,3.97990122620698
Norte,Calcáreo,Maiz,646.9853458470058,31.2213034910942,False,False,Nublado,61,3.6749291009237104
Norte,Arcilloso,Trigo,358.6172215503248,18.79298916388456,True,False,Lluvioso,76,3.498599967980347
Oeste,Calcáreo,Trigo,785.4581326233083,33.83380794628356,False,True,Lluvioso,109,6.447866685077572
Este,Arenoso,Cebada,904.5084595452252,39.2437796595496,True,True,Soleado,64,8.209796225267308
Norte,Turba,Trigo,170.19313043735582,17.870306867393456,False,True,Nublado,146,2.7276966351212657
Oeste,Siltoso,Cebada,258.3465147806036,33.09557268506572,False,False,Soleado,123,2.6681276609567
Este,Franco,Maiz,492.6380552984028,35.77617859058961,True,True,Soleado,105,5.767022595469762
Oeste,Turba,Maiz,356.8611001303277,24.01235722213352,True,True,Nublado,86,4.678449651433357
Este,Franco,Cebada,466.0562759234755,29.55821561843998,True,False,Soleado,139,4.482054547651228
Oeste,Turba,Maiz,930.8668269225,38.060381849403015,True,True,Lluvioso,61,7.432946373587882
Norte,Siltoso,Trigo,778.2895563105877,26.29805673993473,True,True,Nublado,131,8.869623459965766
Sur,Arenoso,Maiz,516.9707883324564,17.450038050513594,False,True,Soleado,120,4.487272241390366
Este,Arcilloso,Maiz,373.3761151488907,28.108239093219144,True,True,Nublado,62,5.122501622788869
Sur,Franco,Maiz,638.7242530641003,19.383872801063525,True,True,Nublado,87,6.153750811044066
Este,Siltoso,Trigo,203.17867741663187,19.87723833025691,True,True,Soleado,93,3.7778498813407086
Sur,Calcáreo,Trigo,898.592470280999,33.107219917388065,False,False,Soleado,97,4.810048649975837
Sur,Turba,Trigo,683.3994989648015,36.58698785361532,True,True,Nublado,76,7.83275008135206
Este,Siltoso,Cebada,375.4737518187882,36.679720903753854,False,True,Soleado,101,4.075345750595739
Oeste,Franco,Trigo,610.9806870740738,15.449267576648,True,True,Nublado,101,5.638344907043368
Norte,Siltoso,Cebada,831.9498085703339,30.0930707536822,True,False,Lluvioso,92,5.656059585719261
Este,Siltoso,Maiz,941.5682295498932,33.357803923825045,False,True,Soleado,125,6.601630457759092
Este,Siltoso,Maiz,655.7366893166785,19.423323790536067,False,False,Soleado,80,3.726503751151194
Oeste,Calcáreo,Cebada,916.410969718156,24.881761543129063,True,False,Nublado,146,6.506749720207947
Norte,Arcilloso,Trigo,193.79229082272408,38.88483152348068,False,True,Nublado,78,3.3588863752250844
Oeste,Calcáreo,Maiz,429.2543322550548,27.274333491719783,False,False,Lluvioso,85,2.978861105353962
Norte,Arenoso,Maiz,597.2721477216519,33.541882992797994,False,False,Lluvioso,73,3.836426804066729
Norte,Arenoso,Cebada,167.87204211200498,34.211578925048,False,False,Soleado,66,1.612673894750323
Oeste,Turba,Cebada,710.5925118143463,36.077281631645874,True,True,Soleado,97,6.264505896973428
Sur,Franco,Maiz,162.81466027131506,18.09748429470793,True,False,Soleado,143,3.0614697507648505
Norte,Franco,Cebada,553.3970411886742,23.78988736190395,False,False,Soleado,79,3.163532054237871
Este,Calcáreo,Cebada,162.30867492601848,37.81357790137346,False,True,Soleado,124,2.92798832369918
Oeste,Arenoso,Cebada,317.2054032086937,24.7493477272594,True,True,Soleado,75,3.724724977559221
Norte,Calcáreo,Cebada,796.081652143169,25.09518918100764,True,True,Lluvioso,85,7.67891260093957
Sur,Siltoso,Cebada,937.2900423960346,30.518052107205712,False,True,Soleado,134,6.213989656127186
Oeste,Arenoso,Trigo,516.6737563569112,22.21935548462192,False,True,Nublado,113,3.939059889860661
Oeste,Arenoso,Trigo,458.9578967201652,33.85071388428025,False,True,Nublado,143,4.0146005289268025
Este,Arenoso,Cebada,330.79499240333143,38.51166104982815,False,True,Soleado,135,3.2869461607322696
Sur,Arcilloso,Trigo,648.6967692402058,29.54703876162132,True,False,Nublado,61,6.130752066776377
Sur,Calcáreo,Trigo,159.5660203012851,24.9721237755901,True,False,Soleado,133,2.9730793044447448
Este,Arcilloso,Cebada,421.3925815853648,26.90353635395845,False,False,Soleado,81,2.789131242335678
Sur,Calcáreo,Cebada,364.48925371570704,31.758869802401787,False,True,Lluvioso,131,3.874756256604906
Este,Siltoso,Cebada,551.5683721763676,22.65677758682346,True,False,Nublado,113,5.278325941792021
Oeste,Calcáreo,Maiz,503.2223475917447,37.97029655066546,False,False,Soleado,67,2.815162237275302
Sur,Turba,Maiz,437.5996378879563,33.72773003103259,True,True,Soleado,109,5.6524410858832805
Norte,Siltoso,Cebada,895.1636702783933,22.26624220065088,False,False,Nublado,103,5.485161152300936
Este,Siltoso,Trigo,316.30313947409644,30.215314530960235,True,False,Nublado,88,3.324933400185234
Este,Siltoso,Maiz,757.5859820939501,34.10702586704933,True,True,Nublado,147,7.140072115917142
Oeste,Arenoso,Trigo,643.7405071531579,27.66318656045229,True,True,Lluvioso,99,6.554635347665477
Oeste,Turba,Trigo,225.35855548511023,19.562283336506773,True,True,Soleado,88,4.024300676770591
Este,Siltoso,Cebada,748.7781125424337,15.290427523345896,False,True,Lluvioso,115,4.843442703838714
Norte,Turba,Trigo,823.5782924432183,30.583586666659272,False,True,Nublado,136,5.66010350370729
Sur,Siltoso,Trigo,573.6861089323044,19.72308775938604,False,True,Lluvioso,141,5.334404629515929
Norte,Siltoso,Cebada,169.25605107034494,36.42721823340218,False,False,Nublado,100,1.379792455071586
Norte,Siltoso,Trigo,395.4968797833574,35.84480266226717,False,True,Soleado,143,3.9873595070545615
Oeste,Franco,Trigo,339.82283291247313,35.779103538087554,True,True,Lluvioso,75,4.804230131294072
Oeste,Franco,Cebada,131.6302513767605,17.80421897883912,False,False,Lluvioso,104,0.2144069198528894
Norte,Turba,Maiz,873.6016809236903,28.81525778651327,False,True,Soleado,93,6.770565206011336
Norte,Turba,Trigo,657.4681460736131,15.819430186707828,True,True,Soleado,101,7.059369447547921
Sur,Turba,Cebada,729.380965300001,19.65098476078796,False,True,Nublado,79,5.078120545002698
Norte,Arcilloso,Trigo,337.80528358624656,37.10602535146532,True,True,Soleado,90,5.100335692373526
Este,Arenoso,Maiz,711.0978530704944,37.61244642006163,True,False,Lluvioso,106,4.756412773110849
Oeste,Arcilloso,Trigo,115.98680886431244,32.81937378468041,True,True,Lluvioso,140,4.157649820061652
Sur,Turba,Trigo,121.165901780572,30.22056594864351,False,True,Nublado,104,2.3632790060594684
Norte,Siltoso,Maiz,850.7830265100495,21.33183508519111,True,False,Soleado,71,5.417125929963276
Norte,Arcilloso,Trigo,247.99047427651965,35.38520624546076,False,True,Lluvioso,137,3.231449554436246
Este,Calcáreo,Maiz,348.7276922930314,22.555255051951523,True,False,Lluvioso,112,3.4936565175497845
Este,Arenoso,Cebada,526.4331074301481,33.829556372067806,False,True,Nublado,102,3.7023758584646096
Sur,Arcilloso,Trigo,420.3750824213045,35.33251479920116,True,True,Nublado,146,5.987424587516612
Oeste,Siltoso,Cebada,120.91810931293644,15.57511324946632,True,False,Nublado,106,2.8978843596365507
Norte,Turba,Cebada,168.11546283435246,19.21928710498786,False,True,Lluvioso,75,2.7044223730848813
Este,Arenoso,Cebada,901.844578519626,26.03694484053755,False,False,Nublado,78,5.0639346892523545
Norte,Arenoso,Maiz,689.0857051316452,30.74555254212294,True,True,Lluvioso,65,6.733771118844449
Norte,Franco,Trigo,629.0882048164891,36.35325430448437,False,True,Soleado,126,4.950589091645869
Norte,Arenoso,Trigo,965.9336565277958,26.10869200593806,False,True,Nublado,116,7.064185076101508
Sur,Arcilloso,Cebada,178.17127910617052,23.670930288772297,False,False,Nublado,111,0.9611130351535684
Oeste,Arcilloso,Maiz,741.0416656578049,31.0068961444907,False,False,Soleado,131,5.746369009594209
Oeste,Arcilloso,Cebada,233.2879846162465,32.41502968767535,False,False,Lluvioso,149,1.4610349174884498
Sur,Arcilloso,Maiz,932.5443945521552,17.562191422836968,False,True,Soleado,101,6.237842660695605
Norte,Franco,Trigo,905.203025023995,32.82101490025261,True,False,Lluvioso,105,7.0679132619389495
Norte,Turba,Cebada,234.65616784504985,29.7404580653305,False,True,Lluvioso,139,2.667486916914226
Norte,Franco,Trigo,743.5126756419229,28.81321662487148,False,False,Soleado,105,4.046361943283899
Sur,Arenoso,Trigo,599.9133447871931,20.16388873952323,False,True,Nublado,98,4.534398120310109
Sur,Arenoso,Cebada,592.2111295788281,35.40688201957717,True,False,Nublado,72,4.744392929961867
Norte,Franco,Maiz,592.0835204283538,26.19401581190328,True,True,Lluvioso,142,6.026426835477667
Este,Calcáreo,Cebada,630.5132558573285,25.51927591185137,True,True,Soleado,144,5.9169218967256505
Sur,Arcilloso,Maiz,572.685893174481,36.77048450751212,True,True,Nublado,136,6.404177722830104
Sur,Franco,Trigo,888.7950761589508,25.228227045848747,True,False,Lluvioso,61,7.386733505872677
Oeste,Arcilloso,Maiz,739.4578629932454,16.525054937630614,True,False,Nublado,124,5.999159347422161
Oeste,Turba,Maiz,508.9661622737547,35.36575549130869,True,True,Lluvioso,77,6.525131977796305
Norte,Franco,Maiz,109.8972289213176,20.43576686551855,False,False,Lluvioso,119,1.3556079712089195
Este,Siltoso,Cebada,773.3103297886481,25.74860471964394,True,True,Nublado,108,8.008172014582495
Oeste,Franco,Maiz,142.43251709659356,27.442497310561244,True,True,Soleado,82,4.608124790715826
Sur,Arenoso,Trigo,549.2221877989898,17.908720128197768,False,False,Nublado,75,3.185209293304599
Sur,Arcilloso,Trigo,877.4693753669754,39.6861046979493,True,False,Lluvioso,137,5.940015234642199
Sur,Turba,Cebada,903.675491181814,36.23042190800943,False,False,Lluvioso,106,5.320710868590225
Oeste,Siltoso,Cebada,433.1787951713085,34.75176131337084,False,True,Nublado,127,3.5097518377417924
Sur,Calcáreo,Cebada,193.5378427779487,15.483632463523069,True,False,Lluvioso,98,2.367770428146617
Sur,Siltoso,Cebada,937.480815491525,39.9352042517319,False,False,Nublado,145,6.16865447801514
Norte,Siltoso,Trigo,343.7993468174902,37.73192181557796,False,False,Nublado,137,1.5020535095133545
Este,Arcilloso,Cebada,741.8325984468368,26.417001471957395,False,False,Nublado,84,4.2161295358797855
Oeste,Arenoso,Maiz,655.7206152124987,23.609370971244864,False,True,Soleado,135,4.149479365935124
Oeste,Arenoso,Maiz,159.26300445688082,23.725545388501608,True,False,Soleado,148,1.9478133752639843
Norte,Siltoso,Trigo,888.6684357443075,24.411445924680923,True,True,Soleado,66,7.833051934547003
Oeste,Arcilloso,Trigo,878.9646246421215,30.7710597011372,False,True,Soleado,148,6.974271790137324
Norte,Siltoso,Cebada,986.541879208824,24.68156386461869,True,False,Soleado,77,6.8498652611328446
Norte,Turba,Maiz,300.04243747313706,39.77393361051206,False,False,Lluvioso,108,3.12068249177563
Norte,Arenoso,Cebada,519.3070376611657,23.70710619116952,True,False,Nublado,106,4.815743490466986
Este,Arcilloso,Cebada,505.1180790194073,25.137644243894368,True,False,Nublado,130,4.295461596842392
Oeste,Arcilloso,Trigo,639.9355161547504,36.90902602963264,True,False,Nublado,138,5.847673486271947
Este,Arcilloso,Trigo,591.9618671951673,35.43567577260323,True,True,Lluvioso,96,6.818992360372106
Sur,Franco,Cebada,539.2475765960273,21.60330611542173,False,False,Soleado,102,3.045288859850788
Este,Franco,Cebada,185.5906477504106,33.09814855277358,True,False,Soleado,122,2.748451429721127
Este,Calcáreo,Trigo,239.25473251603063,17.180145530356338,False,True,Nublado,99,2.870081795163647
Oeste,Calcáreo,Cebada,575.5516110539572,17.441292637848207,False,False,Lluvioso,74,2.8031360805471794
Sur,Siltoso,Trigo,215.38505422298687,27.97578704728754,False,True,Soleado,104,2.2970894874721304
Norte,Arcilloso,Trigo,881.5862453703045,16.04684239778294,True,True,Soleado,103,7.078065444773897
Este,Turba,Cebada,976.575689515637,38.76669572977008,True,False,Lluvioso,149,7.5116468541338675
Este,Arenoso,Cebada,700.5584347903375,16.610546211243076,False,True,Soleado,95,4.859252324564841
Norte,Franco,Maiz,658.1781525951,38.01540352256294,False,False,Nublado,149,4.481179376076772
Sur,Franco,Maiz,331.6011661811003,39.392108360694216,False,True,Lluvioso,131,3.654019163846373
Este,Calcáreo,Trigo,759.3880378267575,19.22959273450952,True,False,Nublado,83,6.342621900375013
Oeste,Arenoso,Maiz,194.15467473044524,39.17750559828264,False,True,Nublado,109,2.483519452333492
Sur,Siltoso,Trigo,796.5427532135844,26.16307119641997,True,True,Soleado,63,6.694522180151802
Norte,Arcilloso,Cebada,293.0233496097368,20.172253429372624,False,False,Nublado,105,1.697483524985204
Oeste,Siltoso,Trigo,577.0726923043635,30.261208611577057,False,True,Lluvioso,135,5.184766129281417
Este,Arenoso,Cebada,369.4477163510063,26.38168663495035,False,False,Soleado,136,2.797231784971604
Oeste,Turba,Cebada,975.9460863374704,23.634301659627205,True,False,Nublado,138,5.919990531493115
Oeste,Turba,Cebada,845.6582057740549,25.208365024546342,True,False,Nublado,78,5.452503657934153
Este,Arenoso,Trigo,943.4841145427596,20.653996162016377,True,True,Soleado,93,7.19368523549515
Oeste,Calcáreo,Trigo,380.88567760120105,19.23002888193632,False,True,Nublado,119,3.87239151322627
Sur,Arcilloso,Trigo,179.27951297150247,19.55041054612355,False,True,Soleado,115,2.920640157717284
Sur,Arenoso,Cebada,959.567982335518,22.31279581600008,False,False,Soleado,139,4.585378900494256
Sur,Turba,Trigo,874.569454519359,16.963272780109346,True,True,Soleado,123,6.738239963536319
Oeste,Turba,Maiz,289.70273415499673,24.425591724519315,True,True,Soleado,79,4.597593218147477
